close_time,lower_bound,upper_bound,residual,real_price,predicted_price
2023-11-16,36193.054221050734,39599.954689825325,-1694.6900000000314,36163.50999999997,37858.200000000004
2023-11-17,34565.65610924603,37835.2272957513,450.4100000000035,36613.91999999998,36163.50999999997
2023-11-18,34997.92565741163,38304.53127105547,-45.81999999998516,36568.09999999999,36613.91999999998
2023-11-19,34956.58242750868,38253.9094141447,791.7600000000384,37359.86000000003,36568.09999999999
2023-11-20,35713.784960466706,39081.8038683,88.91999999994732,37448.77999999998,37359.86000000003
2023-11-21,35801.26141078444,39172.11484246611,-1707.1299999999828,35741.649999999994,37448.77999999998
2023-11-22,34161.82604205834,37394.53339378719,1666.689999999995,37408.33999999999,35741.649999999994
2023-11-23,35747.64492635536,39146.184439240846,-114.05999999996129,37294.28000000003,37408.33999999999
2023-11-24,35641.09234844021,39024.14962821058,419.2899999999936,37713.57000000002,37294.28000000003
2023-11-25,36043.71341634614,39460.788784872275,67.09999999996944,37780.66999999999,37713.57000000002
2023-11-26,36110.32655296363,39528.27797210137,-333.2400000000125,37447.42999999998,37780.66999999999
2023-11-27,35793.91745723359,39177.32713331453,-204.72999999998865,37242.69999999999,37447.42999999998
2023-11-28,35600.52861457145,38960.621015112854,576.169999999991,37818.86999999998,37242.69999999999
2023-11-29,36152.661943294515,39561.87044595149,35.77000000001135,37854.63999999999,37818.86999999998
2023-11-30,36189.312263131615,39596.601314511914,-130.68000000001484,37723.95999999998,37854.63999999999
2023-12-01,36066.76537377935,39457.299353941904,958.5600000000486,38682.520000000026,37723.95999999998
2023-12-02,36982.72452885898,40460.441263129636,767.8299999999799,39450.350000000006,38682.520000000026
2023-12-03,37717.48790091924,41262.82532948251,521.9099999999962,39972.26,39450.350000000006
2023-12-04,38218.191104557554,41806.833953401394,2018.840000000011,41991.10000000001,39972.26
2023-12-05,40138.76693278963,43928.91496050389,2082.219999999965,44073.31999999998,41991.10000000001
2023-12-06,42119.545286910296,46117.72331801658,-310.6299999999683,43762.69000000001,44073.31999999998
2023-12-07,41825.223706578836,45789.90538034723,-489.54999999999563,43273.140000000014,43762.69000000001
2023-12-08,41359.45122648678,45275.37454995056,897.8499999999767,44170.98999999999,43273.140000000014
2023-12-09,42218.18152182373,46214.1259346174,-457.39000000002125,43713.59999999997,44170.98999999999
2023-12-10,41783.2141488393,45733.16974020008,75.91000000002532,43789.509999999995,43713.59999999997
2023-12-11,41858.516211572794,45809.58331986824,-2536.110000000015,41253.39999999998,43789.509999999995
2023-12-12,39419.51910669866,43172.59698053495,238.98999999999796,41492.38999999998,41253.39999999998
2023-12-13,39650.33821910056,43420.01872465117,1376.6400000000212,42869.03,41492.38999999998
2023-12-14,40963.22286081813,44863.5044997579,153.23000000003958,43022.26000000004,42869.03
2023-12-15,41112.27355145339,45020.98024793304,-1081.9600000000282,41940.30000000001,43022.26000000004
2023-12-16,40077.80468730006,43889.34917504085,337.72999999998865,42278.03,41940.30000000001
2023-12-17,40402.85368325814,44240.23695686535,-903.3799999999756,41374.65000000002,42278.03
