close_time,real_price,predicted_price,lower_bound,upper_bound
2023-10-20,29669.04,28767.730553971407,27526.000482522537,30065.476521057546
2023-10-21,29909.8,28821.852739541497,27078.340359201786,30677.625892885524
2023-10-22,29992.46,28876.076747914936,26751.478064451505,31169.41076461488
2023-10-23,33069.99,28930.402770656103,26486.80056898169,31599.44525170578
2023-10-24,33922.73,28984.83099968979,26261.65816379868,31990.38015195371
2023-10-25,34496.05,29039.36162730186,26064.460754866835,32353.806650833976
2023-10-26,34151.66,29093.994846139936,25888.33838634749,32696.595798269067
2023-10-27,33892.02,29148.73084921407,25728.824574943133,33023.21517429064
2023-10-28,34081.0,29203.569829897446,25582.823526318385,33336.76167262487
2023-10-29,34525.89,29258.511981927048,25448.085992797376,33639.48564300125
2023-10-30,34474.73,29313.557499404338,25322.917550695074,33933.08261382773
2023-10-31,34639.77,29368.70657679596,25206.004556954562,34218.867335559575
2023-11-01,35421.43,29423.959408934417,25096.304514628348,34497.88341522447
2023-11-02,34941.59,29479.316191018755,24992.973921299603,34770.975468007535
2023-11-03,34716.78,29534.777118615268,24895.31904228319,35038.838344056814
2023-11-04,35062.07,29590.342387658166,24802.761293648953,35302.051745466124
2023-11-05,35011.88,29646.012194450286,24714.812264354172,35561.10520414918
2023-11-06,35046.09,29701.786735663783,24631.055289144748,35816.416508944676
2023-11-07,35399.12,29757.666208340816,24551.131588897522,36068.34556528046
2023-11-08,35624.72,29813.650809894254,24474.72966764627,36317.20499815388
2023-11-09,36701.09,29869.740738108358,24401.577077972077,36563.268386747965
2023-11-10,37301.63,29925.936191139506,24331.43393920852,36806.77674623254
2023-11-11,37130.0,29982.23736751687,24264.087773400428,37047.94369181208
2023-11-12,37064.13,30038.644466143123,24199.34934602212,37286.9595980139
2023-11-13,36462.93,30095.157686295144,24137.049282649394,37523.99498202267
2023-11-14,35551.19,30151.777227624727,24077.035291881883,37759.203280764494
2023-11-15,37858.2,30208.50329015927,24019.169866975964,37992.72314928072
2023-11-16,36163.51,30265.33607430251,23963.328369173854,38224.680377405195
2023-11-17,36613.92,30322.2757808352,23909.397418109158,38455.18949936538
2023-11-18,36568.1,30379.322610915835,23857.273531307612,38684.35515428816
2023-11-19,37359.86,30436.47676608136,23806.86196730149,38912.273243092
2023-11-20,37448.78,30493.73844824788,23758.075736367788,39139.03191775549
2023-11-21,35741.65,30551.107859711385,23710.83475017931,39364.71243167262
2023-11-22,37408.34,30608.585203148436,23665.065087287512,39589.38987417689
2023-11-23,37294.28,30666.170681616917,23620.69835575403,39813.13380791618
2023-11-24,37713.57,30723.864498556726,23577.67113770197,40036.008824308265
2023-11-25,37780.67,30781.666857790507,23535.92450330047,40258.075029562904
2023-11-26,37447.43,30839.57796352436,23495.4035838815,40479.38847157171
2023-11-27,37242.7,30897.598020348578,23456.05719564466,40700.0015162101
2023-11-28,37818.87,30955.72723323835,23417.837506826545,40919.96318017462
2023-11-29,37854.64,31013.9658075545,23380.699742364977,41139.31942632553
2023-11-30,37723.96,31072.31394904421,23344.601921033347,41358.11342655913
2023-12-01,38682.52,31130.77186384174,23309.50462079585,41576.38579645936
2023-12-02,39450.35,31189.339758469163,23275.37076877551,41794.174805336595
2023-12-03,39972.26,31248.017839837088,23242.165452759415,42011.516564729114
2023-12-04,41991.1,31306.806315245405,23209.855751608506,42228.4451980002
2023-12-05,44073.32,31365.705392384,23178.410582311,42444.99299329161
2023-12-06,43762.69,31424.715279333494,23147.800561731445,42661.190541781245
2023-12-07,43273.14,31483.836184565993,23117.997881369516,42877.06686293139
2023-12-08,44170.99,31543.0683169458,23088.976193668157,43092.64951818721
2023-12-09,43713.6,31602.41188573017,23060.71050859771,43307.96471439985
2023-12-10,43789.51,31661.867100570045,23033.17709940814,43523.03739808084
2023-12-11,41253.4,31721.43417151079,23006.35341657659,43737.891341461676
2023-12-12,41492.39,31781.113308992943,22980.218009099586,43952.549221208355
2023-12-13,42869.03,31840.90472385295,22954.750452379405,44167.03269054227
2023-12-14,43022.26,31900.80862732392,22929.931282044738,44381.362445426224
2023-12-15,41940.3,31960.825231036364,22905.741933120597,44595.558285401756
2023-12-16,42278.03,32020.95474701894,22882.164684030828,44809.63916959341
2023-12-17,41374.65,32081.197387699205,22859.18260497289,45023.62326834122
2023-12-18,42657.8,32141.55336590438,22836.779510256947,45237.52801086862
2023-12-19,42275.99,32202.022894862075,22814.939914244394,45451.370129350806
2023-12-20,43668.93,32262.606188201058,22793.648990560087,45665.16569970979
2023-12-21,43861.8,32323.30345995201,22772.89253428719,45878.93017942652
2023-12-22,43969.04,32384.11492454828,22752.656926883104,46092.67844263219
2023-12-23,43702.16,32445.040796826645,22732.929103581904,46306.424812712765
2023-12-24,42991.5,32506.08129202805,22713.696523071903,46520.1830926387
2023-12-25,43576.13,32567.236625798403,22694.947139258013,46733.966593209734
2023-12-26,42508.93,32628.5070141893,22676.669374937268,46947.78815938642
2023-12-27,43428.85,32689.892673658822,22658.852097231575,47161.66019486469
2023-12-28,42563.76,32751.39382107227,22641.484594637437,47375.59468503339
2023-12-29,42066.95,32813.01067370295,22624.5565555649,47589.60321844242
2023-12-30,42140.28,32874.74344923294,22608.05804824958,47803.697006897986
2023-12-31,42283.58,32936.59236575385,22591.979501932492,48017.88690429011
