close_time,lower_bound,upper_bound,residual,real_price,predicted_price
2019-10-20,157.12273695191223,186.3022072957098,4.128466865001116,175.22000000000003,171.0915331349989
2019-10-21,160.64370100473658,190.58170720331447,-0.9935716871023317,173.9799999999999,174.97357168710224
2019-10-22,160.70608029975773,190.4642123455808,-3.753585283180257,171.19999999999996,174.95358528318022
2019-10-23,157.34102727877865,186.35386192637887,-8.884073924742381,162.34999999999997,171.23407392474235
2019-10-24,150.41806035311623,178.27378344444426,-3.374684566655361,160.37999999999997,163.75468456665533
2019-10-25,147.27144187539952,174.8299042278641,21.039873867133025,181.49999999999991,160.4601261328669
2019-10-26,164.31486955541115,195.45390763315214,0.28067173599254147,179.48999999999998,179.20932826400744
2019-10-27,165.80868024195146,197.17331969637473,2.9378103728062115,183.74999999999994,180.81218962719373
2019-10-28,168.37040386292423,200.17018308078815,-1.8630454225764481,181.72000000000006,183.5830454225765
2019-10-29,166.22519876915098,197.18189180391266,9.416913529451193,190.45999999999998,181.0430864705488
2019-10-30,173.85594404875675,206.63737045538426,-6.4092706440369795,183.13000000000002,189.539270644037
2019-10-31,168.50001526632803,200.24552252033698,-1.5082511258970328,182.18,183.68825112589704
2019-11-01,167.28926243831074,198.95191884745597,0.4150259279279851,182.84999999999994,182.43497407207195
2019-11-02,167.68639068946501,199.40562670711824,0.05046421997172956,182.91000000000003,182.8595357800283
2019-11-03,168.02759669019875,199.71815740246728,-1.6488697594136283,181.54,183.18886975941362
2019-11-04,166.21534509538932,197.51057914168877,4.521454357550482,185.70999999999998,181.1885456424495
2019-11-05,170.4203897374669,202.27123054593955,3.015943321503329,188.68000000000004,185.6640566784967
2019-11-06,172.62455134525106,204.8277801656528,3.1219622147170583,191.16000000000008,188.03803778528302
2019-11-07,175.64990770173543,208.3889118317009,-4.640393918953009,186.67999999999998,191.320393918953
2019-11-08,171.36287334770512,203.4778071403841,-2.991201715370522,183.74000000000004,186.73120171537056
2019-11-09,168.78434378144294,200.1447406409265,1.0931047313750923,184.89,183.7968952686249
2019-11-10,169.50728419541352,200.94810392612658,4.4006129162338254,188.95999999999998,184.55938708376615
2019-11-11,173.24513857309472,205.33981233135856,-3.6310395547394023,184.98000000000002,188.61103955473942
2019-11-12,170.49211276761264,202.03597998805805,1.4949001637189383,187.08999999999997,185.59509983628104
2019-11-13,171.55855814387292,203.24437749159398,1.379412378938639,188.11,186.73058762106137
2019-11-14,172.79692672741558,204.65777214434974,-3.1338062827321096,184.91999999999996,188.05380628273207
