,ARIMA Static - Train,ARIMA Static - Test,ARIMA Rolling - Test
MAPE,2.735023356049533,6.148140961261193,1.7628453925826428
RMSE,2999.5351982122647,1313.0817245285946,535.1342203225984
R²,0.9048065627483028,0.3185038872661814,0.8868107149460497
